x,y,amp,phase
-0.225694318,0.295104007,0.00076342,-31.524
-0.221011906,0.290681313,0.00080872,-34.464
-0.216365494,0.286149348,0.000918154,-31.596
-0.211755082,0.281504618,0.000941757,-26.448
-0.207180671,0.276743243,0.00113536,-24.786
-0.202642259,0.271860913,0.00125075,-23.388
-0.198139847,0.266852826,0.00135184,-18.888
-0.193858817,0.261930446,0.00143553,-14.25
-0.18961085,0.256882381,0.00136591,-14.19
-0.185213438,0.251474458,0.00137974,-11.544
-0.180852026,0.245915744,0.00129653,-11.244
-0.176706121,0.240439287,0.000730518,-17.166
-0.17241521,0.234559561,0.000863556,4.938
-0.168160298,0.228500316,0.000736479,6.21
-0.164116456,0.222513431,0.00061417,11.106
-0.159758475,0.21579084,0.0004797,25.842
-0.155783632,0.209392155,0.00047827,46.806
-0.15167122,0.202477267,0.000464441,52.404
-0.150037591,0.200144467,0.000396969,85.788
-0.145704375,0.200617351,0.000525478,73.95
-0.144723078,0.200405365,0.000566009,67.572
-0.148621733,0.207164947,0.000532869,68.688
-0.152725144,0.213972374,0.000559095,54.966
-0.156864556,0.220549471,0.000600342,40.038
-0.161039968,0.226914298,0.00069714,23.736
-0.16525138,0.23308231,0.000836376,13.848
-0.169498791,0.239066838,0.000885013,5.328
-0.173782203,0.244879462,0.0010326,-3.294
-0.17792092,0.250297959,0.00120378,-1.092
-0.182274832,0.25580211,0.00134683,-23.286
-0.186481112,0.260940432,0.0013969,-11.094
-0.190905524,0.266166502,0.00123835,-11.748
-0.195365936,0.271260186,0.0013857,-8.658
-0.199862347,0.276227065,0.000983723,-17.886
-0.204394759,0.281072132,0.00148989,-17.226
-0.208772101,0.28560517,0.000832323,-20.754
-0.213567582,0.290414311,0.000730757,-23.31
-0.218207994,0.294919086,0.000715736,-32.994
-0.222688837,0.299136291,0.000645403,-22.746
-0.227399748,0.303435503,0.000657085,-24.798
-0.232345229,0.307806637,0.000835899,-22.554
-0.237129641,0.311902511,0.000885252,-24.642
-0.242151684,0.316066841,0.000992544,-26.868
-0.247009596,0.319968526,0.00116325,-22.764
-0.251903508,0.323777906,0.00129343,-26.046
-0.25683342,0.327496589,0.00147081,-24.738
-0.261799331,0.331126023,0.0014267,-29.382
-0.266801243,0.334667509,0.00152899,-28.554
-0.271839155,0.338122212,0.00147868,-28.428
-0.276913066,0.341491174,0.00147367,-38.298
-0.282022978,0.344775318,0.00140072,-40.488
-0.287384084,0.348106987,0.00129319,-46.392
-0.292567496,0.351220384,0.00122286,-51.378
-0.297786907,0.354251136,0.00112606,-57.726
-0.300089162,0.355842202,0.000998504,-60.126
-0.300818961,0.359112711,0.000957254,-68.88
-0.299673081,0.361050062,0.00110031,-58.848
-0.294644551,0.358213848,0.0011344,-55.734
-0.289649084,0.355303411,0.00128103,-47.124
-0.284471672,0.352186827,0.00129915,-47.382
-0.279330261,0.348988377,0.00140239,-40.284
-0.274224849,0.345707394,0.00151468,-33.786
-0.269365944,0.342484968,0.00154424,-32.244
-0.264331032,0.339040055,0.00139714,-33.906
-0.259332121,0.335510049,0.00146175,-28.806
-0.254369209,0.331893862,0.00132824,-25.356
-0.249442297,0.328190279,0.00124956,-21.18
-0.244551385,0.324397945,0.00115181,-21.96
-0.239696474,0.320515359,0.0010202,-24.03
-0.234877562,0.316540857,0.000958923,-26.922
-0.23009465,0.312472597,0.000814918,-12.552
-0.225347739,0.308308541,0.00079656,-15.858
-0.22044132,0.303866691,0.00079656,-17.808
-0.215767908,0.299499816,0.000752691,-23.61
-0.211130497,0.295029543,0.000783924,-12.906
-0.206529085,0.290452825,0.000851635,-16.716
-0.201963673,0.285766285,0.000905279,-20.37
-0.197434262,0.280966182,0.000980623,-14.994
-0.19294085,0.276048365,0.00110889,-12.024
-0.188483438,0.271008216,0.00118018,-10.284
-0.184062026,0.265840588,0.00111867,-8.94
-0.179858621,0.260763339,0.00116421,-5.766
-0.17550771,0.255328759,0.0010922,-2.082
-0.171192798,0.249747563,0.000951055,6.972
-0.166913886,0.244011603,0.000915769,15.366
-0.162670975,0.238111634,0.000827555,30.018
-0.158464063,0.23203712,0.000847343,34.746
-0.154293151,0.225775987,0.000752214,46.83
-0.15015824,0.219314304,0.000693325,56.748
-0.146059328,0.212635891,0.000726465,58.698
-0.142164985,0.206014863,0.000671629,72.174
-0.1385349,0.200093768,0.000613932,72.03
-0.134101365,0.200854618,0.000658277,67.518
-0.133227887,0.200300419,0.000672821,80.004
-0.137063292,0.207168981,0.000796799,72.942
-0.141100704,0.214087216,0.000896934,63.954
-0.145174115,0.220772807,0.000844005,61.764
-0.149283527,0.227244354,0.000902656,51.108
-0.153428939,0.233517752,0.000863556,39.972
-0.15761035,0.239606696,0.000854973,33.552
-0.161827762,0.245523071,0.000939373,26.526
-0.166081174,0.251277254,0.00101567,18.63
-0.170370585,0.256878356,0.00103379,12.33
-0.174515053,0.262109882,0.00103832,2.412
-0.178874965,0.267433642,0.00113798,4.92
-0.183086995,0.272411798,0.00103904,1.572
-0.187517406,0.277482737,0.00107289,-4.83
-0.191983818,0.282432421,0.000919107,-7.782
-0.19648623,0.287265439,0.000870947,-10.818
-0.201024641,0.291985917,0.00086141,-7.992
-0.205599053,0.296597578,0.000782494,-3.162
-0.210209465,0.301103781,0.000833277,-5.43
-0.215050258,0.305688871,0.000830654,-5.376
-0.21973417,0.30998888,0.000749115,-10.614
-0.224454082,0.314191801,0.000799421,-15.312
-0.229209993,0.31829988,0.000948433,-14.82
-0.234001905,0.322315148,0.000983484,-20.208
-0.238829817,0.326239446,0.001189,-16.83
-0.243490347,0.329916412,0.00109006,-23.85
-0.248388759,0.333667236,0.00132895,-26.538
-0.25332317,0.337331562,0.0014217,-26.412
-0.258293582,0.340910616,0.00149084,-36.246
-0.263299994,0.344405499,0.00145555,-34.632
-0.268342405,0.347817193,0.00148226,-36.6
-0.273420817,0.351146572,0.0014217,-39.468
-0.278535229,0.354394407,0.0013373,-46.62
-0.283470321,0.357431027,0.00122953,-51.39
-0.288872052,0.36064807,0.00107456,-54.6
-0.294094464,0.363654989,0.00105596,-65.184
-0.299352876,0.366582559,0.000898127,-68.292
-0.300128271,0.367290548,0.000845436,-76.182
-0.30084257,0.370519071,0.000765804,-77.154
-0.299673002,0.372444834,0.000704769,-74.808
-0.29461716,0.369680875,0.000928883,-66.672
-0.289376748,0.366720474,0.00102616,-59.664
-0.284172337,0.363681839,0.00119067,-54.204
-0.279003925,0.360564551,0.00125886,-50.952
-0.274084645,0.357502885,0.00130511,-43.56
